Date,Close/Last,Volume,Open,High,Low
01/30/2024,$56.285,61817980,$56.732,$57.088,$56.082
01/29/2024,$57.579,69053900,$57.135,$57.855,$56.268
01/26/2024,$57.042,127705700,$56.181,$57.964,$55.8432
01/25/2024,$56.20,94519150,$55.195,$56.346,$54.846
01/24/2024,$54.487,264328000,$53.775,$56.25,$53.707
01/23/2024,$49.219,155060200,$49.20,$49.896,$48.14
01/22/2024,$48.571,52123090,$48.755,$48.98,$47.99
01/19/2024,$48.295,56723510,$48.498,$48.567,$47.606
01/18/2024,$48.531,40543990,$48.003,$48.577,$47.802
01/17/2024,$48.033,48945930,$48.45,$48.621,$47.5264
01/16/2024,$48.124,46789740,$49.00,$49.415,$47.802
01/12/2024,$49.216,50037180,$50.051,$50.079,$49.061
01/11/2024,$49.223,79932650,$49.254,$50.341,$48.382
01/10/2024,$47.833,43424480,$48.16,$48.70,$47.295
01/09/2024,$48.209,35267570,$47.553,$48.5085,$47.38
01/08/2024,$48.503,36757750,$47.389,$48.524,$47.365
01/05/2024,$47.406,26312500,$47.65,$47.9545,$47.1804
01/04/2024,$47.467,36365130,$47.298,$48.0739,$46.653
01/03/2024,$47.026,34436940,$46.732,$47.505,$46.5773
01/02/2024,$46.85,50494230,$48.3185,$48.465,$46.186
12/29/2023,$48.688,27405550,$49.037,$49.223,$48.1935
12/28/2023,$49.051,17104920,$49.20,$49.289,$48.907
12/27/2023,$49.179,25613300,$49.124,$49.4015,$48.925
12/26/2023,$49.119,20345170,$48.939,$49.148,$48.638
12/22/2023,$48.676,27026720,$49.40,$49.602,$48.545
12/21/2023,$49.161,27562250,$49.266,$49.44,$48.677
12/20/2023,$48.927,45636900,$49.20,$50.089,$48.839
12/19/2023,$49.502,38490140,$48.84,$49.614,$48.406
12/18/2023,$48.612,64106600,$47.63,$49.204,$47.5095
12/15/2023,$47.206,78409920,$46.73,$47.30,$46.73
12/14/2023,$46.983,51764370,$48.036,$48.076,$46.476
12/13/2023,$47.998,58201920,$46.198,$48.125,$46.198
12/12/2023,$46.30,33026600,$46.523,$46.561,$45.9196
12/11/2023,$45.989,49296620,$45.936,$47.065,$45.721
12/08/2023,$45.376,34583840,$45.076,$45.55,$45.076
12/07/2023,$45.20,35067220,$45.085,$45.2885,$44.832
12/06/2023,$44.673,41787550,$46.00,$46.05,$44.573
12/05/2023,$45.515,33806740,$45.07,$45.639,$44.958
12/04/2023,$45.39,51577130,$46.099,$46.12,$45.12
12/01/2023,$46.574,43414710,$47.317,$47.523,$46.46
11/30/2023,$47.397,42873490,$47.531,$47.8591,$47.042
11/29/2023,$47.719,28555400,$47.90,$48.0988,$47.449
11/28/2023,$47.90,28901640,$47.811,$48.05,$47.595
11/27/2023,$47.917,36259240,$47.903,$48.20,$47.535
11/24/2023,$47.956,14047320,$47.711,$48.04,$47.52
